long,lat,X_CART,Y_CART
-124.5,42.75,0.0021869410015301566,0.655746921625206
-124.5,48.0,0.0020219787893059216,0.8434701108380352
-124.5,48.25,0.002014187049627722,0.8523369307126355
-124.25,40.25,0.007192239795114811,0.5657362288825543
-124.25,40.5,0.007167105472712858,0.5747478658029259
-124.25,40.75,0.007141975225720622,0.5837580415296314
-124.25,42.25,0.006991309597633555,0.6377775577507964
-124.25,42.5,0.006966223142522607,0.6467720323765173
-124.25,42.75,0.006941145198754018,0.6557634553533487
-124.25,43.0,0.006916076349588577,0.6647516175595014
-124.25,43.25,0.006891017185010713,0.6737363074624999
-124.25,47.5,0.006467099595102811,0.8257273316610234
-124.25,47.75,0.006442323958429861,0.8346103657288245
-124.25,48.0,0.006417570641161958,0.8434853974175949
-124.25,48.25,0.006392840391731618,0.8523521583850251
-124.0,40.0,0.012160732043256075,0.5567584193956155
-124.0,40.25,0.012118376644459812,0.5657712062562859
-124.0,40.5,0.012076027224217032,0.574782720943165
-124.0,40.75,0.012033684670729444,0.5837927744561978
-124.0,41.0,0.011991349882075958,0.592801175693564
-124.0,41.25,0.011949023766364003,0.6018077314194797
-124.0,41.5,0.011906707241883115,0.6108122462315141
-124.0,41.75,0.011864401237261124,0.6198145225273562
-124.0,42.0,0.011822106691622772,0.6288143604710617
-124.0,42.25,0.011779824554750922,0.6378115579587476
-124.0,42.5,0.011737555787250248,0.6468059105837646
-124.0,42.75,0.011695301360713641,0.6557972116012851
-124.0,43.0,0.011653062257891136,0.6647852518923552
-124.0,43.25,0.011610839472861593,0.67376981992737
-124.0,43.5,0.011568634011206988,0.682750701728976
-124.0,43.75,0.011526446890189496,0.6917276808344006
-124.0,44.0,0.011484279138931292,0.7007005382571829
-124.0,44.25,0.011442131798597146,0.7096690524483261
-124.0,44.5,0.01140000592257979,0.7186329992568484
-124.0,44.75,0.011357902576688238,0.7275921518897152
-124.0,46.5,0.011063902223973757,0.7901523588830056
-124.0,46.75,0.011022019042576213,0.7990646628090914
-124.0,47.0,0.010980168574815994,0.8079700056145397
-124.0,47.25,0.01093835202166116,0.8168681317458807
-124.0,47.5,0.01089657059876135,0.8257587825255581
-124.0,47.75,0.010854825536671926,0.8346416961042309
-124.0,48.0,0.010813118081081244,0.843516607412417
-123.75,39.25,0.01728275832977208,0.529767846187448
-123.75,39.5,0.017223167829253896,0.5387831514370457
-123.75,39.75,0.017163582071063034,0.547797739231209
-123.75,40.0,0.017104002264015976,0.5568114266909658
-123.75,40.25,0.017044429630203497,0.5658240289291049
-123.75,40.5,0.016984865405193377,0.5748353590195122
-123.75,40.75,0.016925310838236403,0.583845227966005
-123.75,41.0,0.01686576719247558,0.5928534446706774
-123.75,41.25,0.016806235745158996,0.6018598159017029
-123.75,41.5,0.01674671778785578,0.6108641462606551
-123.75,41.75,0.01668721462667583,0.6198662381492696
-123.75,42.0,0.016627727582492903,0.6288658917356958
-123.75,42.25,0.016568257991171335,0.637862904920191
-123.75,42.5,0.016508807203796275,0.6468570733002929
-123.75,42.75,0.016449376586907743,0.6558481901354086
-123.75,43.0,0.016389967522738226,0.6648360463108693
-123.75,43.25,0.016330581409454127,0.6738204303014009
-123.75,43.5,0.01627121966140093,0.6828011281340356
-123.75,43.75,0.01621188370935225,0.6917779233504329
-123.75,44.0,0.016152575000762726,0.700750596968619
-123.75,44.25,0.016093295000024835,0.7097189274441348
-123.75,44.5,0.016034045188729626,0.7186826906305903
-123.75,44.75,0.015974827065931573,0.7276416597395963
-123.75,45.0,0.015915642148417286,0.7365956053001094
-123.75,45.25,0.015856491970978395,0.7455442951171507
-123.75,45.5,0.015797378086688553,0.754487494229897
-123.75,45.75,0.015738302067184545,0.763424964869153
-123.75,46.0,0.01567926550295154,0.7723564664141953
-123.75,46.25,0.015620270003612675,0.7812817553489649
-123.75,46.5,0.015561317198222692,0.7902005852176396
-123.75,46.75,0.015502408735566034,0.7991127065795375
-123.75,47.0,0.015443546284459079,0.808017866963394
-123.75,47.25,0.015384731534056763,0.8169158108209722
-123.75,47.5,0.01532596619416355,0.8258062794800161
-123.75,47.75,0.015267251995548759,0.8346890110965484
-123.75,48.0,0.01520859069026616,0.8435637406065163
-123.5,38.75,0.02243120884621789,0.5118079548873694
-123.5,39.0,0.02235438874095,0.5208239072018764
-123.5,39.25,0.0222775716825339,0.5298395019241826
-123.5,39.5,0.022200759195686533,0.5388545601066662
-123.5,39.75,0.022123952821725478,0.547868900853378
-123.5,40.0,0.022047154118821907,0.5568823412903574
-123.5,40.25,0.02197036466225763,0.5658946965354594
-123.5,40.5,0.021893586044686407,0.5749057796676936
-123.5,40.75,0.021816819876399437,0.5839154016960562
